311,Pressing nails into skin,"It's a form of tactile stimming for me. Sometimes I rub my nails very lightly across my skin, or press them into the skin. It's satisfying in a sensory way.",2
312,Biting on knuckles,"When I am feeling overwhelmed or overstimulated, I tend to bite on my knuckles as a way to self-regulate.",2
313,Picking at scabs,Picking at scabs,2
314,Tugging on hair,Tugging on my hair usually involves running my fingers through my hair and pulling gently. It feels comforting and can help me focus.,1
315,Chewing on clothes,Chewing on clothes,2
316,Digging nails into skin,Digging my nails into my skin gives me a sense of grounding and helps me focus better,2
317,Rubbing hands on rough surfaces,I rub my hands on rough surfaces to feel the textures and sensations it creates,1
318,Biting on pencils,Biting on pencils,2
319,Tapping fingers on skin,"When I stim by tapping my fingers on my skin, it feels like I'm creating a rhythmic pattern with my own body. It makes me feel more grounded in the present moment, and it helps me focus on the task at hand. The sensation of tapping can sometimes be a bit overwhelming or distracting, especially if I'm in a high-stress situation.",1
320,Grinding teeth,Grinding my teeth helps me to focus and reduces stress,2
321,Tearing at skin around nails,I tend to pick at the skin around my nails with my fingers.,2
322,Rubbing fingertips on skin,"When I feel overwhelmed or overstimulated, I find myself rubbing my fingertips on my skin. It provides a calming sensory input and helps me deal with my emotions.",1
323,Chewing on hair,Chewing on hair,2
324,Tapping objects on teeth,Tapping objects on teeth,1
325,Twisting fingers,"When I am feeling anxious, I twist my fingers in unique patterns.",2
326,Rubbing skin excessively,I rub my skin excessively which soothes me and helps me calm down.,2
327,Thumb sucking,"When I get anxious, I often suck my thumb to calm myself down.",2
328,Biting lip,"When I get overwhelmed or anxious, I tend to bite my lip. It is an automatic response and gives me a sense of comfort and relief.",2
329,Head scratching,I tend to scratch my head a lot when I'm anxious or thinking deep about something,1
330,Ear flicking,Ear flicking is a repetitive movement of the fingers flicking in front of ears. The sound created by this small movement is soothing to hear.,2
331,Hitting self,Hitting myself rhythmically on the thighs or arms,2
332,Cuticle picking,Cuticle picking involves picking and biting the skin around the nails. I tend to do it when I am anxious or stressed out.,2
333,Squeezing hands tightly,"When I get sensory overloaded or anxious, I squeeze my hands tightly to provide myself with a deep pressure input",1
334,Rubbing temples,Rubbing temples is my stim. I like to use my fingers to gently rub the temples in a circular motion.,0
335,Folding arms,"When I am happy or excited I tend to fold my arms in a certain way, it's always been a comfortable and familiar motion for me.",1
336,Biting inside of cheeks,I tend to bite the inside of my cheeks until it feels better,2
337,Stimming bracelet,I wear a stimming bracelet that has beads of different colors and textures that I like to touch and fiddle with,1
338,Scratching,"Scratching is when I tend to rub my fingers against the surface of the skin, mostly around my hands and forearms.",1
141,Running,"Whenever I feel overwhelmed with stuff, I'd occasionally get up and running around. The physical sensation of getting worn out somehow helps me",1
156,Counting objects,"Whenever I feel under stimulated and bored, I start counting random objects around me ",1
159,Flipping through pages,"If there's any book near me whenever I feel overstimulated, I sometimes start flipping through the pages in that book",1
160,Rearranging items,I tend to randomly rearrange random stuff around me whenever I feel anxious or stressed.,1
184,Creative writing prompts,I sometimes start putting up creative writing prompts whenever I feel bored,1
187,Detailed sketching,I start sketching about random people or objects (sometimes even erotic stuff) in my notebook whenever I feel bored,1
241,Inventing new writing styles,"Whenever I feel bored, I start writing in different handwritings randomly and call it new writing styles",1
257,Manipulating strings into patterns,"Whenever I feel very much bored or very much stressed, I start twisting and rearranging the strings lying around me into random patterns",1
